location,text,hashtags
"California, USA","Let's hear it for the farm workers, the essential workers who are still out in the fields laboring hard to keep food on our tables and supermarket shelves. Let's let them know how much we appreciate the hard work they do to keep us fed during the #COVID19 pandemic. #WeFeedYou https://t.co/QQHyBSGujW",[]
,"My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
"Houston, TX",Parentine during Quarantine‼️ 😩 #HeavyWeightMusik #BigDaddy #Quarantine #Coronavirus https://t.co/sMonkPHjMw,"[{'text': 'HeavyWeightMusik', 'indices': [32, 49]}, {'text': 'BigDaddy', 'indices': [50, 59]}, {'text': 'Quarantine', 'indices': [60, 71]}, {'text': 'Coronavirus', 'indices': [72, 84]}]"
"Bristol, England","During the coronavirus pandemic, people should avoid travelling unless it is essential. This means you should avoid visiting holiday or second homes. 

Find out more: https://t.co/3JrFy1IQwH 
 #COVID19 https://t.co/EtUt5QcBzN",[]
,"Stop asking for the government to lock you down. Stop asking for draconian laws.
Do your part. You and your actions are the best defence against this virus. How we act determines the spread, not government action.
Read &amp; RT $cdnpoli #coronavirus #COVID19 
https://t.co/MnJYzUyVZO",[]
"Fort Worth, Texas, USA","Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
Get set,"Do you shutdown South Africa, knowing it could destroy an economy already on the edge of collapse?

Or do you risk collapsing the health system, and causing thousands of deaths, by not doing enough to stop the spread of #Covid19? 

There are no easy answers.",[]
"New York, NY",👀 @JoeBiden just adopted two of @SenWarren's marquee proposals - canceling student debt + expanding social security - as part of his #COVID19 response plan. At this rate its going to be harder and harder to keep her off the ticket - #WarrenBiden2020 https://t.co/yQuDibHqPm,[]
,"I just voted no on the partisan #COVID19  bill. Here's why: while nurses are being forced to make their own masks and gowns, McConnell and Trump are busy creating a taxpayer-funded slush fund for their buddies. I will stay here as long it takes to get this done the right way.","[{'text': 'COVID19', 'indices': [46, 54]}]"
"Ottawa, Canada","Wondering how you can contribute? 👇 Donate to @OttCommFdn 's #COVID19 Rapid Response Fund, or help spread the word! As a board member I am asking for your help to grow this fund as quickly as we can. We can do this #Ottawa! 💪🙌👏#JoinTheResponse #OttCity #ottnews #COVIDCanada https://t.co/sDoX4imocj","[{'text': 'COVID19', 'indices': [78, 86]}]"
Amsterdam & London,"US officially has the most dire #COVID19 trajectory. This wasn’t inevitable, but here we are. https://t.co/C4kyINpbGw","[{'text': 'COVID19', 'indices': [45, 53]}]"
"Pennsylvania, USA","Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
"New Jersey, USA","We continue to request federal assistance as New Jersey is hit hard by #COVID19:
 
☑️ Personal protective equipment for our frontline workers
☑️ Direct cash assistance for workers, small and large businesses, and the entire state https://t.co/HTzvgaZ734","[{'text': 'COVID19', 'indices': [86, 94]}]"
"Katlehong, South Africa","Do you shutdown South Africa, knowing it could destroy an economy already on the edge of collapse?

Or do you risk collapsing the health system, and causing thousands of deaths, by not doing enough to stop the spread of #Covid19? 

There are no easy answers.",[]
LivingOnStolen Yuggera country,"Is there anyone apart from @ScottMorrisonMP who still thinks #Australia is doing okay on #COVID19 &amp; able to follow #Singapore ?

See latest trajectories

#ShutAustraliaDown #Coronaaustralia

https://t.co/lBbiDJX0UT https://t.co/3NjXTWZEMH","[{'text': 'Australia', 'indices': [80, 90]}, {'text': 'COVID19', 'indices': [108, 116]}]"
"Seattle, Wa","""I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.""
This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. https://t.co/60V4Csuonb",[]
,BREAKING: Two dorms of 45 people incarcerated at Rikers are refusing to leave their dorms for work duties or for meals in protest of deteriorating conditions on the island. Their demands mirror the NY Board of Corrections urgent #COVID19 recommendations. Full statement below: https://t.co/PIgMszdPby,[]
"Dubai, United Arab Emirates","Breaking
UAE shuts malls for two weeks due to #coronavirus #COVID19 
https://t.co/8cP58zMAgw","[{'text': 'coronavirus', 'indices': [61, 73]}, {'text': 'COVID19', 'indices': [74, 82]}]"
Texas,"I just voted no on the partisan #COVID19  bill. Here's why: while nurses are being forced to make their own masks and gowns, McConnell and Trump are busy creating a taxpayer-funded slush fund for their buddies. I will stay here as long it takes to get this done the right way.","[{'text': 'COVID19', 'indices': [46, 54]}]"
Kildonan-St. Paul Winnipeg MB,Land border measures to protect Canadians against #COVID19 https://t.co/x0rTN9VRQS,"[{'text': 'COVID19', 'indices': [65, 73]}]"
"Barcelona, Catalonia","My new favourite thing is Italian mayors and regional presidents LOSING IT at people violating quarantine. Here's an eng subtitled compilation. ""I hear you wanna throw graduation parties. I'm gonna send the police over. With flamethrowers."" #Covid19 #coronavirus https://t.co/NbYuWePIVt",[]
"Toronto, Ontario","#BREAKING: The state of #Florida now has 1,007 cases of #COVID19 total. It's increased by another 177 since this AM. 

- 937 positive FL residents
- 70 positive non-FL residents

The total number of deaths from #coronavirus remains the same at 13 @10NewsWTSP #CoronavirusFL","[{'text': 'BREAKING', 'indices': [18, 27]}, {'text': 'Florida', 'indices': [42, 50]}, {'text': 'COVID19', 'indices': [74, 82]}]"
,"This is the face of someone who just spent 9 hours in personal protective equipment moving critically ill Covid19 patients around London.

I feel broken - and we are only at the start. I am begging people, please please do social distancing and self isolation #covid19 https://t.co/hs0RQdvsn3",[]
Deep In The South,"Hey @JohnMayer can you sing, “Comes a Time” for the world, please? @deadandcompany @GratefulDead  🌍 #COVID19","[{'text': 'COVID19', 'indices': [100, 108]}]"
Florida,"Florida Lawmakers will be hopping on a call w/@GovRonDeSantis staff TONIGHT at 6:30pm. Please retweet if you want FL to enact a shelter in place requirement to prevent the spread #COVID19! 

#DeSantis #FloridaLockDown #Coronavirus",[]
Pennsylvania,"Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
The Road Not Taken,"Soldiers with @WVNationalGuard are answering questions from concerned citizens on a hotline established as part of a whole-of-government approach in responding to the #COVID19 pandemic. 

Video by: Sgt. 1st Class Whitney Hughes https://t.co/oXX8VRid1c",[]
"New Jersey, USA","We continue to request federal assistance as New Jersey is hit hard by #COVID19:
 
☑️ Personal protective equipment for our frontline workers
☑️ Direct cash assistance for workers, small and large businesses, and the entire state https://t.co/HTzvgaZ734","[{'text': 'COVID19', 'indices': [86, 94]}]"
"Tema, Ghana /West Africa","""I'm in the intensive care unit. I can't breathe without this.""

A woman suffering from #coronavirus symptoms has made a video urging people to ""not to take chances"" from her hospital bed.

Latest on #COVID19: https://t.co/xX6569w4M9 https://t.co/K9PeNYBr9R","[{'text': 'coronavirus', 'indices': [101, 113]}]"
,"Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
London,"Yesterday I knocked on my Tennant's door and told him he can stay in the property rent free for 5 months. He is self employed with 4 kids. I don't need Boris to tell me what is morally correct. Landlords, if you can, do more, do something. #COVID19 #BeNice",[]
"Malvinas Argentinas, Argentina","For those looking to read my article on #COVID19 , 

Evidence over hysteria - COVID-19  

It is reposted here - https://t.co/qof8RHHcTX","[{'text': 'COVID19', 'indices': [52, 60]}]"
,"Mississippi Gov. Tate Reeves “has no intention"" of closing the state's beaches ""nor anywhere else"" due to #COVID19 currently, Mississippi Sen. Joel Carter, whose district includes the coast, tweeted. Alabama's governor closed their beaches last week. | https://t.co/jOr2VfVZIn https://t.co/WcLIEbG2gC","[{'text': 'COVID19', 'indices': [125, 133]}]"
